Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio,prefix,patient,capture,sequencer,depth
INDEL,ALL,1777,1577,200,3390,552,1236,96,59,0.887451,0.743733,0.364602,0.80926,,,1.525697503671072,2.947867298578199,HG001_novaseq_truseq_50x.haplotypecaller,HG001,truseq,novaseq,50
INDEL,PASS,1777,1577,200,3390,552,1236,96,59,0.887451,0.743733,0.364602,0.80926,,,1.525697503671072,2.947867298578199,HG001_novaseq_truseq_50x.haplotypecaller,HG001,truseq,novaseq,50
SNP,ALL,30041,29093,948,35286,942,5247,128,82,0.968443,0.968641,0.148699,0.968542,2.7845088161209066,2.6300904977375565,1.6014900805683099,1.7594679186228481,HG001_novaseq_truseq_50x.haplotypecaller,HG001,truseq,novaseq,50
SNP,PASS,30041,29093,948,35286,942,5247,128,82,0.968443,0.968641,0.148699,0.968542,2.7845088161209066,2.6300904977375565,1.6014900805683099,1.7594679186228481,HG001_novaseq_truseq_50x.haplotypecaller,HG001,truseq,novaseq,50
INDEL,ALL,1777,1584,193,3449,556,1283,103,60,0.89139,0.743306,0.371992,0.81064,,,1.525697503671072,2.9811542991755005,HG001_novaseq_truseq_75x.haplotypecaller,HG001,truseq,novaseq,75
INDEL,PASS,1777,1584,193,3449,556,1283,103,60,0.89139,0.743306,0.371992,0.81064,,,1.525697503671072,2.9811542991755005,HG001_novaseq_truseq_75x.haplotypecaller,HG001,truseq,novaseq,75
SNP,ALL,30041,29208,833,35501,953,5336,108,78,0.972271,0.968407,0.150306,0.970335,2.7845088161209066,2.6175002546602832,1.6014900805683099,1.7660586217648893,HG001_novaseq_truseq_75x.haplotypecaller,HG001,truseq,novaseq,75
SNP,PASS,30041,29208,833,35501,953,5336,108,78,0.972271,0.968407,0.150306,0.970335,2.7845088161209066,2.6175002546602832,1.6014900805683099,1.7660586217648893,HG001_novaseq_truseq_75x.haplotypecaller,HG001,truseq,novaseq,75
INDEL,ALL,561,501,60,892,83,297,13,10,0.893048,0.860504,0.33296,0.876474,,,1.631578947368421,2.455252918287938,HG002_hiseq4000_agilent_50x.haplotypecaller,HG002,agilent,hiseq4000,50
INDEL,PASS,561,501,60,892,83,297,13,10,0.893048,0.860504,0.33296,0.876474,,,1.631578947368421,2.455252918287938,HG002_hiseq4000_agilent_50x.haplotypecaller,HG002,agilent,hiseq4000,50
SNP,ALL,22708,21966,742,26068,782,3328,76,63,0.967324,0.965611,0.127666,0.966467,2.9559463694932964,2.789741354257483,1.631682709033979,1.8254880694143167,HG002_hiseq4000_agilent_50x.haplotypecaller,HG002,agilent,hiseq4000,50
SNP,PASS,22708,21966,742,26068,782,3328,76,63,0.967324,0.965611,0.127666,0.966467,2.9559463694932964,2.789741354257483,1.631682709033979,1.8254880694143167,HG002_hiseq4000_agilent_50x.haplotypecaller,HG002,agilent,hiseq4000,50
INDEL,ALL,399,349,50,701,67,273,7,4,0.874687,0.843458,0.389444,0.858789,,,1.8345323741007193,2.808743169398907,HG002_hiseq4000_idt_50x.haplotypecaller,HG002,idt,hiseq4000,50
INDEL,PASS,399,349,50,701,67,273,7,4,0.874687,0.843458,0.389444,0.858789,,,1.8345323741007193,2.808743169398907,HG002_hiseq4000_idt_50x.haplotypecaller,HG002,idt,hiseq4000,50
SNP,ALL,20853,19915,938,23338,699,2737,59,62,0.955018,0.96607,0.117277,0.960512,3.0348095146006577,2.889721805763785,1.6357197065519857,1.825075711689885,HG002_hiseq4000_idt_50x.haplotypecaller,HG002,idt,hiseq4000,50
SNP,PASS,20853,19915,938,23338,699,2737,59,62,0.955018,0.96607,0.117277,0.960512,3.0348095146006577,2.889721805763785,1.6357197065519857,1.825075711689885,HG002_hiseq4000_idt_50x.haplotypecaller,HG002,idt,hiseq4000,50
INDEL,ALL,1993,1621,372,3011,582,773,117,74,0.813347,0.739946,0.256725,0.774912,,,1.5435356200527703,2.667076167076167,HG002_hiseq4000_truseq_50x.haplotypecaller,HG002,truseq,hiseq4000,50
INDEL,PASS,1993,1621,372,3011,582,773,117,74,0.813347,0.739946,0.256725,0.774912,,,1.5435356200527703,2.667076167076167,HG002_hiseq4000_truseq_50x.haplotypecaller,HG002,truseq,hiseq4000,50
SNP,ALL,31187,29849,1338,35608,1314,4462,161,99,0.957098,0.957812,0.125309,0.957454,2.76481235670327,2.6285015788937556,1.6196839805009244,1.7825645035183737,HG002_hiseq4000_truseq_50x.haplotypecaller,HG002,truseq,hiseq4000,50
SNP,PASS,31187,29849,1338,35608,1314,4462,161,99,0.957098,0.957812,0.125309,0.957454,2.76481235670327,2.6285015788937556,1.6196839805009244,1.7825645035183737,HG002_hiseq4000_truseq_50x.haplotypecaller,HG002,truseq,hiseq4000,50
INDEL,ALL,561,508,53,1126,164,436,29,24,0.905526,0.762319,0.387211,0.827774,,,1.631578947368421,3.156716417910448,HG002_novaseq_agilent_100x.haplotypecaller,HG002,agilent,novaseq,100
INDEL,PASS,561,508,53,1126,164,436,29,24,0.905526,0.762319,0.387211,0.827774,,,1.631578947368421,3.156716417910448,HG002_novaseq_agilent_100x.haplotypecaller,HG002,agilent,novaseq,100
SNP,ALL,22708,22258,450,27414,936,4236,63,70,0.980183,0.959617,0.15452,0.969791,2.9559463694932964,2.714382448537378,1.631682709033979,1.9228635442227675,HG002_novaseq_agilent_100x.haplotypecaller,HG002,agilent,novaseq,100
SNP,PASS,22708,22258,450,27414,936,4236,63,70,0.980183,0.959617,0.15452,0.969791,2.9559463694932964,2.714382448537378,1.631682709033979,1.9228635442227675,HG002_novaseq_agilent_100x.haplotypecaller,HG002,agilent,novaseq,100
INDEL,ALL,561,512,49,1102,144,428,19,14,0.912656,0.78635,0.388385,0.844808,,,1.631578947368421,3.0183823529411766,HG002_novaseq_agilent_50x.haplotypecaller,HG002,agilent,novaseq,50
INDEL,PASS,561,512,49,1102,144,428,19,14,0.912656,0.78635,0.388385,0.844808,,,1.631578947368421,3.0183823529411766,HG002_novaseq_agilent_50x.haplotypecaller,HG002,agilent,novaseq,50
SNP,ALL,22708,22186,522,27240,936,4134,64,67,0.977013,0.959491,0.151762,0.968173,2.9559463694932964,2.7317540736683554,1.631682709033979,1.9176848874598071,HG002_novaseq_agilent_50x.haplotypecaller,HG002,agilent,novaseq,50
SNP,PASS,22708,22186,522,27240,936,4134,64,67,0.977013,0.959491,0.151762,0.968173,2.9559463694932964,2.7317540736683554,1.631682709033979,1.9176848874598071,HG002_novaseq_agilent_50x.haplotypecaller,HG002,agilent,novaseq,50
INDEL,ALL,561,512,49,1120,152,438,25,20,0.912656,0.777126,0.391071,0.839456,,,1.631578947368421,3.0808823529411766,HG002_novaseq_agilent_75x.haplotypecaller,HG002,agilent,novaseq,75
INDEL,PASS,561,512,49,1120,152,438,25,20,0.912656,0.777126,0.391071,0.839456,,,1.631578947368421,3.0808823529411766,HG002_novaseq_agilent_75x.haplotypecaller,HG002,agilent,novaseq,75
SNP,ALL,22708,22238,470,27366,915,4229,64,67,0.979302,0.960453,0.154535,0.969786,2.9559463694932964,2.712677966101695,1.631682709033979,1.9184631803628602,HG002_novaseq_agilent_75x.haplotypecaller,HG002,agilent,novaseq,75
SNP,PASS,22708,22238,470,27366,915,4229,64,67,0.979302,0.960453,0.154535,0.969786,2.9559463694932964,2.712677966101695,1.631682709033979,1.9184631803628602,HG002_novaseq_agilent_75x.haplotypecaller,HG002,agilent,novaseq,75
INDEL,ALL,399,346,53,778,89,329,13,17,0.867168,0.801782,0.422879,0.833194,,,1.8345323741007193,3.3184357541899443,HG002_novaseq_idt_100x.haplotypecaller,HG002,idt,novaseq,100
INDEL,PASS,399,346,53,778,89,329,13,17,0.867168,0.801782,0.422879,0.833194,,,1.8345323741007193,3.3184357541899443,HG002_novaseq_idt_100x.haplotypecaller,HG002,idt,novaseq,100
SNP,ALL,20853,20096,757,23908,710,3118,58,62,0.963698,0.965849,0.130417,0.964772,3.0348095146006577,2.8429168005139736,1.6357197065519857,1.8619532654284003,HG002_novaseq_idt_100x.haplotypecaller,HG002,idt,novaseq,100
SNP,PASS,20853,20096,757,23908,710,3118,58,62,0.963698,0.965849,0.130417,0.964772,3.0348095146006577,2.8429168005139736,1.6357197065519857,1.8619532654284003,HG002_novaseq_idt_100x.haplotypecaller,HG002,idt,novaseq,100
INDEL,ALL,399,344,55,747,89,300,14,15,0.862155,0.800895,0.401606,0.830397,,,1.8345323741007193,3.1452513966480447,HG002_novaseq_idt_50x.haplotypecaller,HG002,idt,novaseq,50
INDEL,PASS,399,344,55,747,89,300,14,15,0.862155,0.800895,0.401606,0.830397,,,1.8345323741007193,3.1452513966480447,HG002_novaseq_idt_50x.haplotypecaller,HG002,idt,novaseq,50
SNP,ALL,20853,20043,810,23809,739,3043,63,59,0.961157,0.964413,0.127809,0.962782,3.0348095146006577,2.846327683615819,1.6357197065519857,1.8510969907684929,HG002_novaseq_idt_50x.haplotypecaller,HG002,idt,novaseq,50
SNP,PASS,20853,20043,810,23809,739,3043,63,59,0.961157,0.964413,0.127809,0.962782,3.0348095146006577,2.846327683615819,1.6357197065519857,1.8510969907684929,HG002_novaseq_idt_50x.haplotypecaller,HG002,idt,novaseq,50
